ASSESSMENT,ID_NO,SCI_NAME,PRESENCE,ORIGIN,SEASONAL,COMPILER,YRCOMPILED,CITATION,LEGEND,SUBSPECIES,SUBPOP,DIST_COMM,ISLAND,TAX_COMM,ORC_PRIMRY,PARK_CLASS,PROT_NAME,PROT_DESG,PROT_CODE,OBJECTID,F_CODE,ADMIN_AREA,SHAPE,ORC_SCNDRY,SRV_GEN_PL
45203335,29674,Mustela erminea,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45198537,9561,Gulo gulo,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45212861,41648,Martes americana,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45211301,41635,Mephitis mephitis,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45214988,41661,Neovison vison,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45213820,41654,Mustela frenata,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45221721,136797,Spilogale gracilis,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
45216638,41686,Procyon lotor,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
97216466,18868,Puma concolor,"1","1","1",IUCN,"2015",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
50655874,12521,Lynx rufus,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
21976681,17598,Corynorhinus townsendii,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22059133,14157,Myotis evotis,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22055579,14171,Myotis keenii,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22068335,14213,Myotis yumanensis,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22061366,14150,Myotis californicus,"1","1","1",IUCN,"2017",NatureServe 2015,Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22118197,7928,Eptesicus fuscus,"1","1","1",IUCN,"2016",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22069325,14210,Myotis volans,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
22122128,11339,Lasionycteris noctivagans,"1","1","1",IUCN,"2008",IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"0007",Class A,GARIBALDI PARK,PROVINCIAL PARK,PP,216,FA02550271,692,,"00","10TU1986,12TU1693,14TU1733,15TU1693,EPC000225,EPC001568"
