SCI_NAME,COMPILER,YRCOMPILED,CITATION,LEGEND,PROT_NAME,PROT_DESG
Corynorhinus townsendii,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Myotis evotis,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Myotis californicus,IUCN,2017,NatureServe 2015,Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Myotis yumanensis,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Myotis volans,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Eptesicus fuscus,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Lasiurus cinereus,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Lasionycteris noctivagans,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Odocoileus hemionus,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Odocoileus virginianus,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Castor canadensis,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Erethizon dorsatum,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Glaucomys sabrinus,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Ondatra zibethicus,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Peromyscus maniculatus,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Synaptomys borealis,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Ochotona princeps,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Lepus americanus,IUCN,2019,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Gulo gulo,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Mustela erminea,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Mephitis mephitis,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Martes americana,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Mustela frenata,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Neovison vison,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Taxidea taxus,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Procyon lotor,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Spilogale gracilis,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Lynx rufus,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Puma concolor,IUCN,2015,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Lynx canadensis,Maine Department of Inland Fisheries and Wildlife,2016,Maine Department of Inland Fisheries and Wildlife,Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Ursus americanus,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Microtus pennsylvanicus,IUCN,2008,"NatureServe, 2005; IUCN (International Union for Conservation of Nature)",Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Sorex cinereus,"NatureServe, 2005",2008,"NatureServe, 2005",Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Sorex palustris,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Neotamias amoenus,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
