Deployment.Location.ID,start_date,end_date,park,year,effort,log_effort,trail,dist_to_trail,prox_to_trail_decay,elevation,elevation_scaled,mean_ndvi,mean_ndvi_scaled,canopy_cover,canopy_cover_scaled,recreation_park_month,rec_month_100,rec_month_100_scaled,recreation_park_year,rec_year_100,rec_year_100_scaled,recreation_site_month,rec_site_100,rec_site_100_scaled,lepus_detections,ursus_detections,odocoileus_detections,martes_detections,canis_detections,lynx_detections,marmota_detections,rare_detections
GARI01,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,Off trail,145.6418021,0.747303709,1550,0.532115278,0.805566667,0.716163715,11.08,-1.717461241,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,2,9.5238095,-0.502688033,0,0,2,0,0,0,0,0
GARI02,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,1615,0.73718293,0.843533333,0.86305039,87.46,0.679335489,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,1163,5538.095238,0.691017208,7,0,0,0,0,0,0,0
GARI05,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,1520,0.437468669,0.835866667,0.833389343,31.18,-1.086725259,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,1570,7476.190476,1.109482354,0,0,1,0,0,1,0,0
GARI07,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,1681,0.945405469,0.827466667,0.800891149,38.37,-0.861103781,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,2203,10490.47619,1.760313894,0,0,11,0,0,0,0,0
GARI09,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,Off trail,450.0068852,0.406564061,1478,0.304963417,0.796266667,0.680183572,84.6,0.589588976,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,12,57.1428571,-0.492406334,5,0,0,0,0,0,0,0
GARI10,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,1459,0.245020565,0.912666667,1.130515685,68.21,0.075272422,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,2267,10795.2381,1.826116768,1,0,0,0,0,0,0,0
GARI11,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,1350,-0.098862113,0.905666667,1.103433857,91.49,0.805796485,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,3353,15966.66667,2.942709267,3,0,0,0,0,1,0,0
GARI12,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,1070,-0.98223046,0.9158,1.142638026,93.54,0.870125279,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,3415,16261.90476,3.006455799,0,1,0,0,0,0,0,0
GARI16,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,709,-2.121144649,0.892633333,1.05301007,89.99,0.758726635,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,3665,17452.38095,3.263498272,0,0,1,0,0,0,0,0
GARI17,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,796,-1.846669485,0.8965,1.067969557,73.94,0.255079247,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,3605,17166.66667,3.20180808,0,1,0,0,0,0,0,0
GARI18,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,On trail,0,1,890,-1.550110111,0.884566667,1.021801489,87.28,0.673687107,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,3550,16904.7619,3.145258734,0,0,0,0,0,0,0,0
GARI21,2020-07-29,2020-08-25,Garibaldi,2020,21,3.091042453,Off trail,325.3640359,0.521665828,1489,0.339667174,0.877466667,0.994332778,73.14,0.229975327,24807,5906.428571,1.43564652,59643,3911.016393,1.037513983,2,9.5238095,-0.502688033,0,0,0,0,0,0,0,0
JOFF02,2020-07-29,2020-08-25,Joffre Lakes,2020,22,3.135494216,On trail,0,1,2013,1.992827937,0.220633333,-1.546845425,0,-2.065150528,647,168.4895833,-1.115270102,1642,113.3977901,-1.756896072,2,9.0909091,-0.502781503,0,0,0,0,0,0,0,0
JOFF03,2020-07-29,2020-08-25,Joffre Lakes,2020,23,3.17805383,On trail,0,1,1229,-0.480603434,0.723766667,0.39969321,88.25,0.70412561,647,168.4895833,-1.115270102,1642,113.3977901,-1.756896072,332,1443.478261,-0.193074787,6,0,0,1,0,0,0,0
JOFF04,2020-07-29,2020-08-25,Joffre Lakes,2020,23,3.17805383,On trail,0,1,1603,0.699324286,0.6301,0.037312557,77.57,0.368988282,647,168.4895833,-1.115270102,1642,113.3977901,-1.756896072,3,13.0434783,-0.501928082,0,0,0,0,0,0,2,0
JOFF05,2020-07-29,2020-08-25,Joffre Lakes,2020,23,3.17805383,Off trail,231.8578592,0.628942326,1597,0.680394964,0.824966667,0.791219068,87.28,0.673687107,647,168.4895833,-1.115270102,1642,113.3977901,-1.756896072,1,4.3478261,-0.503805609,0,1,0,5,0,0,0,0
JOFF06,2020-07-29,2020-08-25,Joffre Lakes,2020,23,3.17805383,On trail,0,1,1567,0.585748356,0.7098,0.345658514,17.9,-1.503450326,647,168.4895833,-1.115270102,1642,113.3977901,-1.756896072,81,352.173913,-0.428704504,0,0,0,3,0,0,0,0
